Name,Historical Significance,Marital Status,Sex,Birthdate,Deathdate,Date of Appraisal ,Appraiser 1,Appraiser 2,Appraiser 3,Notary,Inventory Purpose,Religion,Nationality,Number of Items,Montias INVNO,Montias INVNO 2,Number of Paintings,Portraits,Rembrandt,Mythology,Still Life,Tapestry,Rariteiten,Textiles,Rubens
Jacob Dircxss,Water Transportation ,W,Male,,,1630/05/14,,,,Palm Mathijs,Death,Roman Catholic,,18,Y,195,18,,,,,,,,
Neeltgen Eeuwouts,,M,Female,,,1630/05/14,,,,Palm Mathijs,Death,Roman Catholic,,18,Y,195,18,,,,,,,,
Dirck Hendricksz. Schoneman,,,Male,,,,,,,,,Roman Catholic,,,,,,,,,,,,,
Hendrick Dircksz. Schoneman,Merchant,,Male,,,,,,,,,Roman Catholic,,,,,,,,,,,,,
Hendrick de Vries,Artisan,M,Male,,,1635/08/21,,,,Willem Cluyt,,,,34,Y,1210,32,Y,,,Y,,,,
Aeltgen Schnickels (Schenckels),,W,Female,,,1635/08/21,,,,Willem Cluyt,,,,34,Y,1210,32,Y,,,Y,,,,
Hendrick Hudde Rutgersz.,,M,Male,,,,,,,,,,,,,,,,,,,,,,
Gerrit de Vries,,,Male,,,,,,,,,,,,,,,,,,,,,,
Willem Gerritsz. de Vries,,,Male,,,,,,,,,,,,,,,,,,,,,,
Rutgert Hudde,Burgomaster,,Male,,,,,,,,,,,,,,,,,,,,,,
Geertruyd Hellincx,,,Female,,,,,,,,,,,,,,,,,,,,,,
Trijntje Hendricx,,,Female,,,,,,,,,,,,,,,,,,,,,,
Arent Pietersz. Brugman,Merchant,W,Male,,,1635/01/01,,,,Evert Cocq,,,Dutch,136,Y,226,123,Y,,,Y,,Y,,
Neeltgen Cornelis (Neeltie Cornelis),,M,Female,,,1635/01/01,,,,Evert Cocq,,,Dutch,136,Y,226,123,Y,,,Y,,Y,,
Lysbet Dierixdr. (Lysbeth Dircx),Cloth Dealer,,Female,,,,,,,,,,,,,,,,,,,,,,
Cornelis Lucasz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Stynyge Pe,,,Female,,,,,,,,,,,,,,,,,,,,,,
Arent Arentsz. Cabel,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Aaltie Alberts de Veer,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter van Aenradt,,,Male,,,,,,,,,,,,,,,,,,,,,,
Albert de Veer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Myntgen de Veer,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jochem Jacobsz. Wachter,,,Male,,,,,,,,,,,,,,,,,,,,,,
Oetje Brugman,,,Female,,,,,,,,,,,,,,,,,,,,,,
Willem Cluyt,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Evert Cocq,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
